iter	RMSE
0	19.9410866
1	19.30833565
2	18.71839426
3	18.16450923
4	17.63534219
5	17.15003812
6	16.68957024
7	16.2669443
8	15.8626179
9	15.4910494
10	15.1536476
11	14.83816601
12	14.54733875
13	14.28111129
14	14.03166664
15	13.79547216
16	13.58073083
17	13.38632903
18	13.20002589
19	13.03016662
20	12.87212813
21	12.72970953
22	12.59846482
23	12.47646832
24	12.36630025
25	12.26610413
26	12.17470438
27	12.08603722
28	12.00352721
29	11.93361841
30	11.86410466
31	11.80224729
32	11.74489996
33	11.69295298
34	11.64525891
35	11.60149495
36	11.56116838
37	11.52586038
38	11.4891726
39	11.4549059
40	11.42400944
41	11.39622147
42	11.36852075
43	11.34369093
44	11.31955074
45	11.30088222
46	11.28338767
47	11.26547172
48	11.24732118
49	11.23177326
50	11.21711437
51	11.2031984
52	11.1906897
53	11.18025782
54	11.16956932
55	11.15882964
56	11.1482431
57	11.13811574
58	11.1298048
59	11.12005912
60	11.11210357
61	11.10406377
62	11.09743864
63	11.09090269
64	11.0836138
65	11.07625558
66	11.07045754
67	11.06492202
68	11.05947366
69	11.05278638
70	11.04596781
71	11.0396385
72	11.03462708
73	11.03016093
74	11.0260912
75	11.02193166
76	11.0185876
77	11.01419999
78	11.00937796
79	11.00574936
80	11.00309739
81	10.99805961
82	10.99371945
83	10.99022308
84	10.98743009
85	10.98326312
86	10.97898969
87	10.97456932
88	10.972567
89	10.9701236
90	10.96445525
91	10.96083643
92	10.95701566
93	10.95469715
94	10.95180935
95	10.94910758
96	10.94563893
97	10.94404752
98	10.94227798
99	10.93863276
100	10.93458195
101	10.93213499
102	10.92854257
103	10.92394321
104	10.92067017
105	10.9186701
106	10.91586543
107	10.91357351
108	10.91181067
109	10.9082704
110	10.90517158
111	10.90278926
112	10.90031099
113	10.89732335
114	10.89479857
115	10.89168546
116	10.89011308
117	10.88806716
118	10.8859401
119	10.88397166
120	10.88131817
121	10.87961893
122	10.87775958
123	10.87596434
124	10.87408567
125	10.87122035
126	10.86918888
127	10.86636465
128	10.86415223
129	10.86233664
130	10.86104219
131	10.85816305
132	10.85565439
133	10.85472713
134	10.85365812
135	10.85161508
136	10.85037185
137	10.84782186
138	10.84575394
139	10.84357254
140	10.84155963
141	10.83865731
142	10.83760447
143	10.83529784
144	10.83375431
145	10.83159081
146	10.82979634
147	10.82814956
148	10.82661535
149	10.82547901
150	10.82372182
151	10.82238658
152	10.8198227
153	10.81845124
154	10.81710708
155	10.81526515
156	10.81422929
157	10.81272768
158	10.80998198
159	10.80692867
160	10.80538464
161	10.80259769
162	10.80112249
163	10.79993305
164	10.79890551
165	10.79717017
166	10.79507992
167	10.79405605
168	10.79218655
169	10.79030861
170	10.78853393
171	10.78706963
172	10.78532619
173	10.7826945
174	10.78145782
175	10.78067643
176	10.77948844
177	10.776312
178	10.77421845
179	10.77190652
180	10.77045196
181	10.76838632
182	10.76666718
183	10.76421878
184	10.76269379
185	10.76113274
186	10.75935045
187	10.75750394
188	10.75629814
189	10.75423538
190	10.7521958
191	10.7511065
192	10.74890202
193	10.74730454
194	10.74602859
195	10.74411697
196	10.74187093
197	10.74054815
198	10.73905978
199	10.73817414
200	10.73548693
201	10.73404024
202	10.73269838
203	10.72954703
204	10.72861591
205	10.7264793
206	10.72454217
207	10.72344505
208	10.7223086
209	10.72015297
210	10.71868285
211	10.71692494
212	10.71615585
213	10.71395623
214	10.71290725
215	10.71169276
216	10.71054983
217	10.70929045
218	10.70777704
219	10.70618056
220	10.70442101
221	10.70298361
222	10.70157867
223	10.6999235
224	10.69804642
225	10.69581129
226	10.69409093
227	10.6923335
228	10.69121054
229	10.68893685
230	10.68785208
231	10.686661
232	10.68459109
233	10.68334224
234	10.68093387
235	10.67891067
236	10.67643985
237	10.67495341
238	10.67359925
239	10.67195278
240	10.67111661
241	10.66965284
242	10.66808364
243	10.66580233
244	10.66370623
245	10.66233605
246	10.66155772
247	10.6596079
248	10.6579167
249	10.65679978
250	10.65523976
251	10.65394837
252	10.65277308
253	10.6508097
254	10.64901922
255	10.647466
256	10.64644801
257	10.64402019
258	10.64287995
259	10.64156399
260	10.64020979
261	10.63823611
262	10.63679121
263	10.63559586
264	10.63370266
265	10.63290435
266	10.63117675
267	10.62974562
268	10.62823539
269	10.62643882
270	10.62463852
271	10.62335875
272	10.62143551
273	10.61934458
274	10.61797535
275	10.61677597
276	10.61572045
277	10.61406478
278	10.61192948
279	10.61061826
280	10.60882962
281	10.60783204
282	10.60664389
283	10.60523258
284	10.60427637
285	10.60272706
286	10.60089661
287	10.59943889
288	10.59784757
289	10.59643706
290	10.59531186
291	10.59365792
292	10.59232055
293	10.59124825
294	10.58926367
295	10.58770641
296	10.58646494
297	10.58505411
298	10.58372135
299	10.58234097
